state,ageGroup,raceEthnicity,gender,education,smokingStatus,alcoholPerWeek,anyPhysicalActivity,n
OH,1,3,1,1,0,0,0,14420
OH,1,3,1,1,0,0,1,223141
OH,1,3,2,1,0,0,0,19413
OH,1,3,2,1,0,0,1,207111
OH,1,4,1,1,0,0,0,6891
OH,1,4,1,1,0,0,1,65345
OH,1,4,2,1,0,0,0,13584
OH,1,4,2,1,0,0,1,55301
OH,1,2,1,1,0,0,0,2256
OH,1,2,1,1,0,0,1,30970
OH,1,2,2,1,0,0,0,12213
OH,1,2,2,1,0,0,1,19459
OH,1,5,1,1,0,0,0,1851
OH,1,5,1,1,0,0,1,13650
OH,1,5,2,1,0,0,0,989
OH,1,5,2,1,0,0,1,13792
OH,2,3,1,1,0,0,0,8042
OH,2,3,1,1,0,0,1,240942
OH,2,3,2,1,0,0,0,11325
OH,2,3,2,1,0,0,1,226087
OH,2,4,1,1,0,0,0,14510
OH,2,4,1,1,0,0,1,56373
OH,2,4,2,1,0,0,1,67953
OH,2,2,1,1,0,0,1,31406
OH,2,2,2,1,0,0,0,18706
OH,2,2,2,1,0,0,1,11047
OH,2,5,1,1,0,0,0,1221
OH,2,5,1,1,0,0,1,14000
OH,2,5,2,1,0,0,1,14883
OH,3,3,1,1,0,0,0,21185
OH,3,3,1,1,0,0,1,235914
OH,3,3,2,1,0,0,0,12876
OH,3,3,2,1,0,0,1,232373
OH,3,4,1,1,0,0,0,3846
OH,3,4,1,1,0,0,1,64219
OH,3,4,2,1,0,0,0,20829
OH,3,4,2,1,0,0,1,44920
OH,3,2,1,1,0,0,1,28450
OH,3,2,2,1,0,0,0,3857
OH,3,2,2,1,0,0,1,22930
OH,3,5,1,1,0,0,1,14344
OH,3,5,2,1,0,0,0,430
OH,3,5,2,1,0,0,1,13853
OH,4,3,1,1,0,0,0,18035
OH,4,3,1,1,0,0,1,241832
OH,4,3,2,1,0,0,0,50300
OH,4,3,2,1,0,0,1,199327
OH,4,4,1,1,0,0,0,3041
OH,4,4,1,1,0,0,1,61109
OH,4,4,2,1,0,0,0,4414
OH,4,4,2,1,0,0,1,56383
OH,4,2,1,1,0,0,0,5424
OH,4,2,1,1,0,0,1,21600
OH,4,2,2,1,0,0,0,5101
OH,4,2,2,1,0,0,1,20495
OH,4,5,1,1,0,0,0,3866
OH,4,5,1,1,0,0,1,9357
OH,4,5,2,1,0,0,0,2749
OH,4,5,2,1,0,0,1,10392
OH,5,3,1,1,0,0,1,1130
OH,5,3,1,2,0,0,0,1130
OH,5,3,1,2,0,0,1,4871
OH,5,3,1,2,0,1,1,5801
OH,5,3,1,3,0,0,0,4470
OH,5,3,1,3,0,0,1,32769
OH,5,3,1,3,0,1,0,1080
OH,5,3,1,3,0,1,1,45375
OH,5,3,1,3,0,2,0,1406
OH,5,3,1,3,0,2,1,6529
OH,5,3,1,3,0,3,1,678
OH,5,3,1,3,1,0,1,1984
OH,5,3,1,3,1,1,0,678
OH,5,3,1,3,1,1,1,2386
OH,5,3,1,3,1,3,0,1607
OH,5,3,1,3,1,3,1,2260
OH,5,3,1,3,2,1,0,4545
OH,5,3,1,3,2,1,1,5349
OH,5,3,1,3,2,3,0,2310
OH,5,3,1,4,0,0,0,6077
OH,5,3,1,4,0,0,1,24935
OH,5,3,1,4,0,1,0,4947
OH,5,3,1,4,0,1,1,31137
OH,5,3,1,4,0,2,1,11450
OH,5,3,1,4,0,3,1,1306
OH,5,3,1,4,1,3,1,1482
OH,5,3,1,4,2,0,1,2160
OH,5,3,1,4,2,1,1,2160
OH,5,3,1,4,2,3,1,477
OH,5,3,1,5,0,0,0,1155
OH,5,3,1,5,0,0,1,6654
OH,5,3,1,5,0,1,0,1130
OH,5,3,1,5,0,1,1,19285
OH,5,3,1,5,0,2,1,6529
OH,5,3,1,5,0,3,1,778
OH,5,3,1,5,1,0,0,753
OH,5,3,1,5,1,1,1,2059
OH,5,3,1,5,1,3,1,251
OH,5,3,2,2,0,0,1,7337
OH,5,3,2,2,1,0,1,1547
OH,5,3,2,2,2,0,1,1547
OH,5,3,2,3,0,0,0,3294
OH,5,3,2,3,0,0,1,41628
OH,5,3,2,3,0,1,0,7362
OH,5,3,2,3,0,1,1,14150
OH,5,3,2,3,0,2,1,2046
OH,5,3,2,3,0,3,1,973
OH,5,3,2,3,1,0,0,3394
OH,5,3,2,3,1,0,1,4717
OH,5,3,2,3,2,0,0,2271
OH,5,3,2,3,2,0,1,1148
OH,5,3,2,3,2,1,1,4043
OH,5,3,2,3,2,2,1,1423
OH,5,3,2,4,0,0,0,923
OH,5,3,2,4,0,0,1,35912
OH,5,3,2,4,0,1,0,3469
OH,5,3,2,4,0,1,1,35189
OH,5,3,2,4,0,2,1,7587
OH,5,3,2,4,0,3,1,3719
OH,5,3,2,4,1,1,1,4317
OH,5,3,2,4,2,0,1,3070
OH,5,3,2,4,2,1,1,1023
OH,5,3,2,5,0,0,0,2171
OH,5,3,2,5,0,0,1,5291
OH,5,3,2,5,0,1,0,2421
OH,5,3,2,5,0,1,1,45146
OH,5,3,2,5,0,2,1,2121
OH,5,3,2,5,1,1,1,349
OH,5,4,1,3,0,0,1,17160
OH,5,4,1,3,0,1,0,12467
OH,5,4,1,3,0,1,1,7555
OH,5,4,1,4,0,0,1,11984
OH,5,4,1,4,0,1,1,5067
OH,5,4,1,5,0,0,1,6575
OH,5,4,1,5,0,1,1,3655
OH,5,4,2,3,0,0,0,1787
OH,5,4,2,3,0,0,1,9556
OH,5,4,2,3,0,1,0,3252
OH,5,4,2,4,0,0,1,15447
OH,5,4,2,4,0,1,1,15198
OH,5,4,2,4,0,3,1,6347
OH,5,4,2,5,0,0,0,3988
OH,5,4,2,5,0,0,1,2596
OH,5,4,2,5,0,1,1,2620
OH,5,2,1,1,0,0,1,3664
OH,5,2,1,1,2,0,1,4214
OH,5,2,1,3,0,0,0,3265
OH,5,2,1,3,0,0,1,4915
OH,5,2,1,3,0,1,0,2210
OH,5,2,1,3,0,1,1,3360
OH,5,2,1,4,0,0,1,689
OH,5,2,1,4,0,1,1,5593
OH,5,2,2,2,0,0,1,4757
OH,5,2,2,3,0,0,0,2828
OH,5,2,2,3,0,0,1,3118
OH,5,2,2,3,0,1,1,9479
OH,5,2,2,4,0,1,0,810
OH,5,2,2,4,0,3,1,2928
OH,5,2,2,5,0,0,1,2213
OH,5,2,2,5,0,2,1,959
OH,5,5,1,3,0,0,1,3757
OH,5,5,1,3,0,1,0,1252
OH,5,5,1,3,0,1,1,3497
OH,5,5,1,3,2,0,1,736
OH,5,5,1,4,0,0,0,198
OH,5,5,1,4,0,1,1,1605
OH,5,5,1,5,0,0,0,1131
OH,5,5,1,5,0,0,1,517
OH,5,5,1,5,0,1,0,495
OH,5,5,1,5,0,1,1,1805
OH,5,5,1,5,0,2,1,265
OH,5,5,1,5,2,1,1,495
OH,5,5,2,3,0,0,1,4974
OH,5,5,2,3,0,1,1,1264
OH,5,5,2,3,0,2,0,2095
OH,5,5,2,3,2,1,1,1250
OH,5,5,2,4,0,0,1,1705
OH,5,5,2,4,0,1,1,2189
OH,5,5,2,5,0,1,1,2966
OH,6,3,1,2,0,0,1,5868
OH,6,3,1,2,0,1,1,765
OH,6,3,1,2,0,3,1,1123
OH,6,3,1,3,0,0,1,17782
OH,6,3,1,3,0,1,0,3240
OH,6,3,1,3,0,1,1,23599
OH,6,3,1,3,0,2,0,1148
OH,6,3,1,3,0,2,1,4159
OH,6,3,1,3,0,3,1,5358
OH,6,3,1,3,1,0,1,4516
OH,6,3,1,3,1,1,1,4439
OH,6,3,1,3,1,2,1,1709
OH,6,3,1,3,2,0,1,4898
OH,6,3,1,3,2,1,1,2424
OH,6,3,1,3,2,3,0,434
OH,6,3,1,3,2,3,1,5587
OH,6,3,1,4,0,0,0,1174
OH,6,3,1,4,0,0,1,7424
OH,6,3,1,4,0,1,0,2143
OH,6,3,1,4,0,1,1,33727
OH,6,3,1,4,0,2,1,7424
OH,6,3,1,4,0,3,0,4056
OH,6,3,1,4,0,3,1,4847
OH,6,3,1,4,1,0,0,1225
OH,6,3,1,4,1,0,1,3878
OH,6,3,1,4,1,1,1,10894
OH,6,3,1,4,1,2,1,2679
OH,6,3,1,4,2,0,1,3725
OH,6,3,1,4,2,2,1,459
OH,6,3,1,5,0,0,0,1556
OH,6,3,1,5,0,0,1,9286
OH,6,3,1,5,0,1,0,4924
OH,6,3,1,5,0,1,1,38830
OH,6,3,1,5,0,2,1,11659
OH,6,3,1,5,0,3,0,459
OH,6,3,1,5,0,3,1,5128
OH,6,3,1,5,1,0,1,4082
OH,6,3,1,5,1,1,0,2066
OH,6,3,1,5,1,1,1,2296
OH,6,3,1,5,1,2,1,944
OH,6,3,1,5,1,3,1,3138
OH,6,3,2,1,0,0,1,7691
OH,6,3,2,2,0,0,0,9836
OH,6,3,2,2,0,1,1,2687
OH,6,3,2,2,2,0,0,10945
OH,6,3,2,2,2,3,0,1109
OH,6,3,2,3,0,0,0,8160
OH,6,3,2,3,0,0,1,22014
OH,6,3,2,3,0,1,0,2687
OH,6,3,2,3,0,1,1,9343
OH,6,3,2,3,0,3,0,567
OH,6,3,2,3,0,3,1,715
OH,6,3,2,3,1,0,0,3870
OH,6,3,2,3,1,0,1,8702
OH,6,3,2,3,1,1,1,10600
OH,6,3,2,3,2,0,1,2046
OH,6,3,2,3,2,1,0,715
OH,6,3,2,3,2,2,1,1602
OH,6,3,2,4,0,0,1,12153
OH,6,3,2,4,0,1,0,542
OH,6,3,2,4,0,1,1,16738
OH,6,3,2,4,1,0,0,5275
OH,6,3,2,4,1,0,1,10723
OH,6,3,2,4,1,1,1,5916
OH,6,3,2,4,2,1,1,1972
OH,6,3,2,5,0,0,0,6089
OH,6,3,2,5,0,0,1,18341
OH,6,3,2,5,0,1,1,51078
OH,6,3,2,5,0,2,1,4339
OH,6,3,2,5,0,3,1,3353
OH,6,3,2,5,1,1,1,6335
OH,6,3,2,5,2,1,1,345
OH,6,4,1,2,0,1,1,12180
OH,6,4,1,3,2,3,1,6112
OH,6,4,1,4,0,0,1,18564
OH,6,4,1,4,0,1,1,5914
OH,6,4,1,4,2,2,1,9449
OH,6,4,1,5,0,0,1,650
OH,6,4,1,5,0,1,0,1969
OH,6,4,1,5,0,1,1,1108
OH,6,4,1,5,0,2,1,1622
OH,6,4,1,5,0,3,1,4353
