state,ageGroup,raceEthnicity,gender,education,smokingStatus,alcoholPerWeek,anyPhysicalActivity,n
OH,6,2,1,4,1,0,1,1662
OH,6,2,1,4,1,1,1,592
OH,6,2,1,4,1,2,1,1751
OH,6,2,1,5,1,1,1,1330
OH,6,2,2,2,0,1,0,5551
OH,6,2,2,2,2,1,1,1989
OH,6,2,2,3,0,0,0,6064
OH,6,2,2,3,1,0,0,807
OH,6,2,2,3,1,1,1,1853
OH,6,2,2,4,0,0,0,2597
OH,6,2,2,4,0,1,1,1431
OH,6,2,2,4,1,0,1,1162
OH,6,2,2,4,1,1,1,3304
OH,6,2,2,4,2,2,1,1431
OH,6,2,2,5,0,0,0,1279
OH,6,2,2,5,0,1,1,269
OH,6,5,1,3,0,1,1,1417
OH,6,5,1,3,1,0,1,1279
OH,6,5,1,3,1,3,1,2575
OH,6,5,1,3,2,3,0,239
OH,6,5,1,4,0,1,1,681
OH,6,5,1,4,1,1,1,2620
OH,6,5,1,5,0,0,1,2525
OH,6,5,1,5,0,1,0,2040
OH,6,5,1,5,0,1,1,3680
OH,6,5,1,5,1,0,1,1806
OH,6,5,1,5,2,1,1,1100
OH,6,5,2,3,1,0,1,2553
OH,6,5,2,3,2,0,1,1489
OH,6,5,2,3,2,1,0,2469
OH,6,5,2,4,1,1,1,3202
OH,6,5,2,5,0,0,1,5012
OH,6,5,2,5,0,1,1,6765
OH,7,3,1,1,0,1,0,1997
OH,7,3,1,1,0,1,1,2575
OH,7,3,1,1,2,0,0,6963
OH,7,3,1,1,2,3,0,4440
OH,7,3,1,2,0,0,1,2102
OH,7,3,1,2,0,2,1,4467
OH,7,3,1,2,2,0,1,1760
OH,7,3,1,2,2,2,1,2943
OH,7,3,1,3,0,0,0,4046
OH,7,3,1,3,0,0,1,368
OH,7,3,1,3,0,1,1,12638
OH,7,3,1,3,0,2,1,2917
OH,7,3,1,3,0,3,1,420
OH,7,3,1,3,1,0,0,604
OH,7,3,1,3,1,0,1,9774
OH,7,3,1,3,1,1,1,8513
OH,7,3,1,3,1,2,1,1839
OH,7,3,1,3,1,3,0,946
OH,7,3,1,3,1,3,1,4835
OH,7,3,1,3,2,0,0,552
OH,7,3,1,3,2,0,1,1892
OH,7,3,1,3,2,1,0,2785
OH,7,3,1,3,2,1,1,3206
OH,7,3,1,3,2,2,1,841
OH,7,3,1,3,2,3,0,3232
OH,7,3,1,3,2,3,1,1971
OH,7,3,1,4,0,0,1,9617
OH,7,3,1,4,0,1,0,946
OH,7,3,1,4,0,1,1,15581
OH,7,3,1,4,0,2,1,946
OH,7,3,1,4,0,3,1,3206
OH,7,3,1,4,1,0,1,867
OH,7,3,1,4,1,1,1,11035
OH,7,3,1,4,1,2,0,6201
OH,7,3,1,4,1,2,1,1971
OH,7,3,1,4,1,3,1,3258
OH,7,3,1,4,2,0,1,3363
OH,7,3,1,4,2,2,1,12743
OH,7,3,1,4,2,3,1,4598
OH,7,3,1,5,0,0,0,2811
OH,7,3,1,5,0,0,1,20100
OH,7,3,1,5,0,1,0,3705
OH,7,3,1,5,0,1,1,33789
OH,7,3,1,5,0,2,1,15213
OH,7,3,1,5,0,3,1,1261
OH,7,3,1,5,1,0,1,3284
OH,7,3,1,5,1,1,1,9538
OH,7,3,1,5,1,2,1,8329
OH,7,3,1,5,1,3,1,525
OH,7,3,1,5,2,1,1,1261
OH,7,3,2,1,0,0,1,2497
OH,7,3,2,2,0,0,0,3758
OH,7,3,2,3,0,0,0,2396
OH,7,3,2,3,0,0,1,14779
OH,7,3,2,3,0,1,1,12534
OH,7,3,2,3,1,0,0,1211
OH,7,3,2,3,1,0,1,6860
OH,7,3,2,3,1,1,0,8373
OH,7,3,2,3,1,1,1,11122
OH,7,3,2,3,1,2,1,1538
OH,7,3,2,3,2,0,0,580
OH,7,3,2,3,2,0,1,883
OH,7,3,2,3,2,1,1,2522
OH,7,3,2,4,0,0,0,832
OH,7,3,2,4,0,0,1,21160
OH,7,3,2,4,0,1,1,27994
OH,7,3,2,4,1,0,0,1715
OH,7,3,2,4,1,0,1,9483
OH,7,3,2,4,1,1,0,1337
OH,7,3,2,4,1,1,1,6456
OH,7,3,2,4,1,3,1,933
OH,7,3,2,4,2,0,0,958
OH,7,3,2,4,2,0,1,454
OH,7,3,2,4,2,1,1,6355
OH,7,3,2,5,0,0,0,1892
OH,7,3,2,5,0,0,1,24161
OH,7,3,2,5,0,1,0,5296
OH,7,3,2,5,0,1,1,48473
OH,7,3,2,5,0,2,1,7314
OH,7,3,2,5,0,3,1,908
OH,7,3,2,5,1,0,0,857
OH,7,3,2,5,1,0,1,1639
OH,7,3,2,5,1,1,0,197
OH,7,3,2,5,1,1,1,9760
OH,7,3,2,5,1,3,1,3127
OH,7,3,2,5,2,1,1,1765
OH,7,4,1,3,0,0,0,4600
OH,7,4,1,3,0,0,1,4600
OH,7,4,1,3,1,1,1,11221
OH,7,4,1,3,2,1,1,727
OH,7,4,1,3,2,2,0,3822
OH,7,4,1,4,0,0,1,6798
OH,7,4,1,4,0,1,0,6482
OH,7,4,1,4,0,1,1,1024
OH,7,4,1,4,1,0,1,6798
OH,7,4,1,5,0,0,1,2515
OH,7,4,1,5,0,1,1,11758
OH,7,4,1,5,1,1,1,2843
OH,7,4,2,2,0,0,1,4836
OH,7,4,2,2,1,1,1,3617
OH,7,4,2,2,2,0,1,9903
OH,7,4,2,3,0,1,1,4554
OH,7,4,2,3,2,0,0,1873
OH,7,4,2,3,2,1,0,1373
OH,7,4,2,4,0,0,1,6451
OH,7,4,2,4,0,2,1,4530
OH,7,4,2,4,1,0,1,3293
OH,7,4,2,4,2,1,1,4006
OH,7,4,2,5,0,0,0,1125
OH,7,4,2,5,0,0,1,3535
OH,7,4,2,5,0,1,0,1231
OH,7,4,2,5,0,1,1,4831
OH,7,4,2,5,1,1,1,3747
OH,7,2,1,3,0,0,0,2512
OH,7,2,1,3,0,1,1,4124
OH,7,2,1,3,1,2,1,3645
OH,7,2,1,3,2,0,1,981
OH,7,2,1,4,0,1,0,3614
OH,7,2,1,5,0,0,1,4230
OH,7,2,1,5,0,1,1,4397
OH,7,2,1,5,2,1,1,2259
OH,7,2,2,2,1,0,1,3059
OH,7,2,2,3,0,0,1,2629
OH,7,2,2,3,0,1,0,917
OH,7,2,2,3,1,1,1,1027
OH,7,2,2,4,0,0,1,1533
OH,7,2,2,4,0,1,1,6099
OH,7,2,2,4,2,0,1,1818
OH,7,2,2,5,0,0,1,2138
OH,7,2,2,5,0,1,1,5352
OH,7,5,1,2,2,3,1,2102
OH,7,5,1,3,0,0,1,4115
OH,7,5,1,3,0,3,1,1990
OH,7,5,1,3,1,0,1,1652
OH,7,5,1,3,2,2,0,594
OH,7,5,1,4,0,0,1,359
OH,7,5,1,4,0,1,1,1631
OH,7,5,1,4,1,0,1,166
OH,7,5,1,5,0,0,0,1250
OH,7,5,1,5,0,0,1,3394
OH,7,5,1,5,0,1,1,3590
OH,7,5,1,5,0,2,1,101
OH,7,5,1,5,1,1,1,568
OH,7,5,2,4,0,0,1,4334
OH,7,5,2,4,0,1,1,962
OH,7,5,2,4,2,1,1,496
OH,7,5,2,5,0,0,1,5066
OH,7,5,2,5,0,1,1,9531
OH,7,5,2,5,0,2,1,1938
OH,8,3,1,1,0,1,1,3331
OH,8,3,1,1,2,1,0,4626
OH,8,3,1,2,0,0,1,6688
OH,8,3,1,2,1,0,1,3410
OH,8,3,1,2,2,1,0,6186
OH,8,3,1,2,2,3,1,2062
OH,8,3,1,3,0,0,0,4679
OH,8,3,1,3,0,0,1,9913
OH,8,3,1,3,0,1,0,899
OH,8,3,1,3,0,1,1,19245
OH,8,3,1,3,0,2,1,634
OH,8,3,1,3,0,3,0,714
OH,8,3,1,3,0,3,1,1639
OH,8,3,1,3,1,0,0,608
OH,8,3,1,3,1,0,1,12425
OH,8,3,1,3,1,1,1,14910
OH,8,3,1,3,1,2,1,3331
OH,8,3,1,3,1,3,1,2088
OH,8,3,1,3,2,0,1,5049
OH,8,3,1,3,2,1,1,1269
OH,8,3,1,3,2,3,0,2564
OH,8,3,1,3,2,3,1,2326
OH,8,3,1,4,0,0,0,1692
OH,8,3,1,4,0,0,1,6582
OH,8,3,1,4,0,1,0,1665
OH,8,3,1,4,0,1,1,11737
OH,8,3,1,4,0,2,1,4653
OH,8,3,1,4,0,3,1,1163
OH,8,3,1,4,1,0,0,1903
OH,8,3,1,4,1,0,1,3860
OH,8,3,1,4,1,1,0,1005
OH,8,3,1,4,1,1,1,16284
OH,8,3,1,4,1,2,1,1718
OH,8,3,1,4,1,3,1,2194
OH,8,3,1,4,2,0,0,3410
OH,8,3,1,4,2,0,1,3331
OH,8,3,1,4,2,1,0,291
OH,8,3,1,4,2,1,1,3860
OH,8,3,1,4,2,2,1,2564
OH,8,3,1,4,2,3,1,344
OH,8,3,1,5,0,0,0,1718
OH,8,3,1,5,0,0,1,10786
OH,8,3,1,5,0,1,0,1639
OH,8,3,1,5,0,1,1,44517
OH,8,3,1,5,0,2,1,2644
OH,8,3,1,5,0,3,0,529
OH,8,3,1,5,0,3,1,2855
OH,8,3,1,5,1,0,0,1956
OH,8,3,1,5,1,0,1,5974
OH,8,3,1,5,1,1,1,5181
OH,8,3,1,5,1,2,0,2088
OH,8,3,1,5,1,2,1,3939
OH,8,3,1,5,1,3,1,1956
OH,8,3,1,5,2,2,1,846
OH,8,3,1,5,2,3,0,846
OH,8,3,2,1,0,0,1,3660
OH,8,3,2,2,0,0,0,6593
OH,8,3,2,2,0,0,1,4512
OH,8,3,2,2,0,1,1,1228
OH,8,3,2,2,2,0,0,602
OH,8,3,2,3,0,0,0,902
OH,8,3,2,3,0,0,1,11783
OH,8,3,2,3,0,1,0,526
OH,8,3,2,3,0,1,1,7897
OH,8,3,2,3,0,3,1,2357
OH,8,3,2,3,1,0,0,1955
OH,8,3,2,3,1,0,1,9752
OH,8,3,2,3,1,1,0,2507
OH,8,3,2,3,1,1,1,2758
OH,8,3,2,3,2,0,0,827
OH,8,3,2,3,2,0,1,4462
OH,8,3,2,3,2,1,1,6794
OH,8,3,2,3,2,2,1,602
OH,8,3,2,3,2,3,0,451
OH,8,3,2,4,0,0,0,7320
OH,8,3,2,4,0,0,1,11908
OH,8,3,2,4,0,1,0,1755
OH,8,3,2,4,0,1,1,19429
OH,8,3,2,4,0,2,1,827
OH,8,3,2,4,1,0,0,4939
OH,8,3,2,4,1,0,1,8423
OH,8,3,2,4,1,1,1,2582
OH,8,3,2,4,1,3,0,752
OH,8,3,2,4,1,3,1,2783
OH,8,3,2,4,2,0,0,2582
OH,8,3,2,4,2,0,1,5164
OH,8,3,2,5,0,0,0,2607
OH,8,3,2,5,0,0,1,24392
OH,8,3,2,5,0,1,0,2858
OH,8,3,2,5,0,1,1,50289
OH,8,3,2,5,0,3,0,552
OH,8,3,2,5,1,0,0,501
OH,8,3,2,5,1,0,1,8448
OH,8,3,2,5,1,1,0,2181
OH,8,3,2,5,1,1,1,8223
OH,8,3,2,5,1,2,0,2557
OH,8,3,2,5,1,2,1,2056
OH,8,3,2,5,1,3,1,2131
OH,8,3,2,5,2,0,1,326
OH,8,3,2,5,2,1,0,727
OH,8,3,2,5,2,1,1,2532
OH,8,3,2,5,2,3,0,301
OH,8,3,2,5,2,3,1,1379
OH,8,4,1,1,0,0,1,14392
OH,8,4,1,3,0,0,1,5594
OH,8,4,1,3,0,1,1,5200
OH,8,4,1,3,2,1,1,6280
OH,8,4,1,4,0,0,1,4168
OH,8,4,1,4,1,2,1,8434
OH,8,4,1,5,0,0,0,4793
OH,8,4,1,5,0,1,1,4532
OH,8,4,1,5,1,1,0,7281
OH,8,4,2,3,0,0,1,1117
OH,8,4,2,3,0,3,0,4177
OH,8,4,2,4,0,0,0,11617
OH,8,4,2,4,0,0,1,4171
OH,8,4,2,4,0,1,1,8533
OH,8,4,2,4,0,3,0,4171
OH,8,4,2,4,2,0,1,903
OH,8,4,2,5,0,0,0,3153
OH,8,4,2,5,0,0,1,8204
OH,8,4,2,5,0,1,1,11808
